S.Word,Variation,Source,Start,End,Duration,ClipName,ClipStart,ClipEnd,ClipDuration
hacer,1,Lista-B,02:03.360,02:07.000,3.64,hacer.mp4,02:02.880,02:07.480,4.6
hermana,1,Lista-B,02:07.760,02:11.560,3.8,hermana.mp4,02:07.280,02:12.040,4.76
hijo,1,Lista-B,02:12.600,02:15.680,3.08,hijo.mp4,02:12.120,02:16.160,4.04
historia,1,Lista-B,02:16.800,02:20.000,3.2,historia.mp4,02:16.320,02:20.480,4.16
hombre,1,Lista-B,02:20.520,02:23.920,3.4,hombre.mp4,02:20.040,02:24.400,4.36
horno,1,Lista-B,02:25.360,02:29.200,3.84,horno.mp4,02:24.880,02:29.680,4.8
ignorar,1,Lista-B,02:29.800,02:33.040,3.24,ignorar.mp4,02:29.320,02:33.520,4.2
igual,1,Lista-B,02:33.880,02:37.280,3.4,igual.mp4,02:33.400,02:37.760,4.36
igual,2,Lista-B,02:37.880,02:41.480,3.6,igual_2.mp4,02:37.400,02:41.960,4.56
igual,3,Lista-B,02:42.040,02:46.120,4.08,igual_3.mp4,02:41.560,02:46.600,5.04
importante,1,Lista-B,02:46.920,02:51.000,4.08,importante.mp4,02:46.440,02:51.480,5.04
inglés,1,Lista-B,02:51.720,02:55.720,4,ingles.mp4,02:51.240,02:56.200,4.96
internet,1,Lista-B,02:56.360,03:00.440,4.08,internet.mp4,02:55.880,03:00.920,5.04
intérprete,1,Lista-B,03:01.160,03:05.440,4.28,interprete.mp4,03:00.680,03:05.920,5.24
jefe,1,Lista-B,03:06.160,03:09.960,3.8,jefe.mp4,03:05.680,03:10.440,4.76
joven,1,Lista-B,03:10.760,03:14.520,3.76,joven.mp4,03:10.280,03:15.000,4.72
joven,2,Lista-B,03:14.960,03:18.880,3.92,joven_2.mp4,03:14.480,03:19.360,4.88
jueves,1,Lista-B,03:20.000,03:23.280,3.28,jueves.mp4,03:19.520,03:23.760,4.24
ladrón,1,Lista-B,03:24.480,03:27.880,3.4,ladron.mp4,03:24.000,03:28.360,4.36
leche,1,Lista-B,03:28.960,03:32.280,3.32,leche.mp4,03:28.480,03:32.760,4.28
lengua de señas,1,Lista-B,03:33.160,03:36.880,3.72,lengua_de_senas.mp4,03:32.680,03:37.360,4.68
letra,1,Lista-B,03:37.520,03:41.200,3.68,letra.mp4,03:37.040,03:41.680,4.64
libro,1,Lista-B,03:42.080,03:45.560,3.48,libro.mp4,03:41.600,03:46.040,4.44
lindo,1,Lista-B,03:46.560,03:50.200,3.64,lindo.mp4,03:46.080,03:50.680,4.6
suave,1,Lista-B,03:50.720,03:55.000,4.28,suave.mp4,03:50.240,03:55.480,5.24
llave,1,Lista-B,03:59.840,04:03.400,3.56,llave.mp4,03:59.360,04:03.880,4.52
llegar,1,Lista-B,03:55.720,03:59.400,3.68,llegar.mp4,03:55.240,03:59.880,4.64
llorar,1,Lista-C,00:03.040,00:06.680,3.64,llorar.mp4,00:02.560,00:07.160,4.6
lluvia,1,Lista-C,00:07.360,00:11.440,4.08,lluvia.mp4,00:06.880,00:11.920,5.04
madre,1,Lista-C,00:12.000,00:15.640,3.64,madre.mp4,00:11.520,00:16.120,4.6
malo,1,Lista-C,00:16.680,00:19.960,3.28,malo.mp4,00:16.200,00:20.440,4.24
marruecos,1,Lista-C,00:34.560,00:38.640,4.08,marruecos.mp4,00:34.080,00:39.120,5.04
martillo,1,Lista-C,00:25.600,00:29.560,3.96,martillo.mp4,00:25.120,00:30.040,4.92
matemáticas,1,Lista-C,00:39.120,00:42.800,3.68,matematicas.mp4,00:38.640,00:43.280,4.64
meningitis,1,Lista-C,00:43.200,00:47.480,4.28,meningitis.mp4,00:42.720,00:47.960,5.24
mente,1,Lista-C,00:56.520,01:00.240,3.72,mente.mp4,00:56.040,01:00.720,4.68
mentira,1,Lista-C,00:48.120,00:51.680,3.56,mentira.mp4,00:47.640,00:52.160,4.52
mirar,1,Lista-C,01:09.760,01:13.680,3.92,mirar.mp4,01:09.280,01:14.160,4.88
morir,1,Lista-C,01:01.280,01:04.920,3.64,morir.mp4,01:00.800,01:05.400,4.6
morir,2,Lista-C,01:05.400,01:09.400,4,morir_2.mp4,01:04.920,01:09.880,4.96
mucho,1,Lista-C,01:14.200,01:18.160,3.96,mucho.mp4,01:13.720,01:18.640,4.92
lleno,1,Lista-C,01:18.480,01:22.960,4.48,lleno.mp4,01:18.000,01:23.440,5.44
música,1,Lista-C,01:28.160,01:32.840,4.68,musica.mp4,01:27.680,01:33.320,5.64
